,_id,OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
900,643bbabc5337de167702e1ac,901,09/20/2022 06:00:00 AM,376.0,1156.0,2572.0,1826.0,152.0,83.0,423.0,270.0,374.0,111.0,543.0,116.0,606.0,392.0,70.0,2116.0,2201.0,119.0,75.0,231.0,97.0,595.0,345.0,171.0,38
901,643bbabc5337de167702e1ad,902,09/21/2022 06:00:00 AM,376.0,1157.0,2573.0,1828.0,152.0,83.0,423.0,270.0,375.0,111.0,544.0,116.0,606.0,392.0,70.0,2118.0,2203.0,120.0,75.0,231.0,97.0,595.0,345.0,171.0,38
902,643bbabc5337de167702e1ae,903,09/22/2022 06:00:00 AM,376.0,1159.0,2573.0,1828.0,152.0,83.0,423.0,270.0,375.0,111.0,545.0,116.0,607.0,392.0,70.0,2119.0,2206.0,120.0,76.0,231.0,97.0,596.0,345.0,171.0,35
903,643bbabc5337de167702e1af,904,09/23/2022 06:00:00 AM,376.0,1159.0,2575.0,1829.0,152.0,83.0,424.0,270.0,376.0,111.0,546.0,117.0,607.0,392.0,70.0,2120.0,2206.0,120.0,76.0,231.0,97.0,596.0,345.0,171.0,31
904,643bbabc5337de167702e1b0,905,09/24/2022 06:00:00 AM,376.0,1159.0,2576.0,1830.0,152.0,83.0,424.0,270.0,376.0,111.0,546.0,117.0,607.0,393.0,70.0,2121.0,2207.0,120.0,76.0,231.0,97.0,596.0,345.0,171.0,35
905,643bbabc5337de167702e1b1,906,09/25/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
906,643bbabc5337de167702e1b2,907,09/26/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
907,643bbabc5337de167702e1b3,908,09/27/2022 06:00:00 AM,376.0,1160.0,2577.0,1832.0,152.0,83.0,425.0,270.0,377.0,111.0,546.0,117.0,610.0,393.0,70.0,2125.0,2208.0,120.0,76.0,231.0,97.0,597.0,345.0,171.0,36
908,643bbabc5337de167702e1b4,909,09/28/2022 06:00:00 AM,376.0,1160.0,2578.0,1832.0,152.0,83.0,426.0,270.0,377.0,111.0,547.0,117.0,611.0,393.0,70.0,2126.0,2211.0,120.0,76.0,231.0,97.0,598.0,345.0,171.0,37
909,643bbabc5337de167702e1b5,910,09/29/2022 06:00:00 AM,376.0,1160.0,2579.0,1833.0,152.0,83.0,426.0,270.0,377.0,111.0,547.0,118.0,612.0,394.0,70.0,2127.0,2212.0,121.0,76.0,231.0,97.0,598.0,345.0,171.0,33
910,643bbabc5337de167702e1b6,911,09/30/2022 06:00:00 AM,376.0,1161.0,2580.0,1833.0,152.0,83.0,426.0,270.0,378.0,111.0,548.0,118.0,613.0,395.0,70.0,2128.0,2213.0,121.0,76.0,231.0,97.0,598.0,345.0,172.0,32
911,643bbabc5337de167702e1b7,912,10/01/2022 06:00:00 AM,376.0,1161.0,2582.0,1834.0,152.0,83.0,427.0,270.0,378.0,111.0,548.0,118.0,614.0,395.0,70.0,2129.0,2214.0,121.0,76.0,231.0,97.0,598.0,345.0,172.0,28
912,643bbabc5337de167702e1b8,913,10/02/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
913,643bbabc5337de167702e1b9,914,10/03/2022 06:00:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,0
914,643bbabc5337de167702e1ba,915,10/04/2022 06:00:00 AM,376.0,1163.0,2585.0,1835.0,152.0,83.0,427.0,270.0,378.0,111.0,549.0,118.0,614.0,395.0,70.0,2129.0,2215.0,121.0,76.0,231.0,97.0,598.0,345.0,172.0,30
